Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Zachowanie kierującego,Zachowanie pieszego,Inne przyczyny,IDKSIP zdarzenia
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98096984P
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98099635D
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98100666D
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98113866C
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98122747F
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98124946L
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98137453Q
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98156497L
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98159756Y
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98195072C
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98196088K
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98196914D
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98203085T
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98244144P
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98244817X
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98265421N
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98268918C
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98272832F
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98276509R
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98282018J
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98282445K
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98285112Y
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98299554A
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98301546L
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98327039E
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98329735Y
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98337463G
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98339470C
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98343536N
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98380536X
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98394415J
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98424294R
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98450379N
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98453312Q
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98455462F
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98483404D
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98622159C
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98630325D
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98639216E
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98642616M
0,0,0,2014,Gwałtowne hamowanie,,,EWK-98642864R
0,0,0,2014,Gwałtowne hamowanie; Niedostosowanie prędkości do warunków ruchu,,,EWK-98265595U
0,0,0,2014,Gwałtowne hamowanie; Niedostosowanie prędkości do warunków ruchu,,,EWK-98703655W
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98119956E
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98140703U
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98250515H
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98281287X
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98619356Q
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98680393D
0,0,0,2014,Gwałtowne hamowanie; Niezachowanie bezp. odl. między pojazdami,,,EWK-98686064Y
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98097596N
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98118033U
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98152141F
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98171140R
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98180029U
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98211708U
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98218954P
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98246791G
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98341571X
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98351715D
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98398592H
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98484142X
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98620863Q
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98633666K
0,0,0,2014,Jazda bez wymaganego oświetlenia,,,EWK-98644247K
