Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,IDKSIP zdarzenia,Zachowanie kierującego,Zachowanie pieszego,Inne przyczyny
0,0,0,2016,EWK-103706129M,,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103706217F,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103707298P,Nieprawidłowe: omijanie,,
0,0,0,2016,EWK-103710949G,,,Nieustalone
0,0,0,2016,EWK-103733328X,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach (od 11.2015),,
0,0,0,2016,EWK-103733769G,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2016,EWK-103734071F,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103734195G,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103734222C,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103734301K,,Inne przyczyny (od 11.2015),
0,0,0,2016,EWK-103737176L,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103742174C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103742911L,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2016,EWK-103744006F,,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103744039W,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103744131T,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103744143H,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103746519T,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103747682U,Nieudzielenie pierwszeństwa przejazdu,,
0,0,0,2016,EWK-103747707F,,Inne przyczyny (od 11.2015),
0,0,0,2016,EWK-103747779M,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2016,EWK-103748289F,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2016,EWK-103748737G,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103764809P,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103765327W,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103765970L,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103766027D,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103766080R,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103769031M,Inne przyczyny (od 11.2015),,
0,0,0,2016,EWK-103769074U,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2016,EWK-103769468R,,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103771981X,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2016,EWK-103772486D,Nieprawidłowe: cofanie,,
0,0,0,2016,EWK-103779255U,,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103785588P,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103789543C,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2016,EWK-103795241F,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103795272F,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103795287R,Nieudzielenie pierwszeństwa przejazdu,,
0,0,0,2016,EWK-103796975M,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103801082R,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103802030M,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103805080R,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103806438C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103807057M,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103808131F,Nieprawidłowe: omijanie,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103808609H,Niezachowanie bezp. odl. między pojazdami,,
0,0,0,2016,EWK-103817007P,Nieustąpienie pierwszeństwa pieszemu przy skręcaniu w drogę poprzeczną  (od 11.2015),,
0,0,0,2016,EWK-103817029T,,"Nieostrożne wejście na jezdnię: zza pojazdu, przeszkody",
0,0,0,2016,EWK-103821023C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103821379K,Nieprawidłowe: cofanie,,
0,0,0,2016,EWK-103821568H,Nieprawidłowe: cofanie,,
0,0,0,2016,EWK-103821691L,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103822531E,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2016,EWK-103823026R,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103823358P,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103823550W,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103825230Q,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2016,EWK-103825336K,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103828683X,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103829469E,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103830258R,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103847384F,,Inne przyczyny (od 11.2015),
0,0,0,2016,EWK-103851333H,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103851623E,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach (od 11.2015),,
0,0,0,2016,EWK-103853068F,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103853376M,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103853649L,Inne przyczyny (od 11.2015),,
0,0,0,2016,EWK-103858140W,,Inne przyczyny (od 11.2015),
0,0,0,2016,EWK-103862014R,Nieprawidłowe: omijanie,,
0,0,0,2016,EWK-103864222G,Niedostosowanie prędkości do warunków ruchu,,
0,0,0,2016,EWK-103865928P,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103865938N,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103866091L,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103878565H,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103878850K,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2016,EWK-103878936T,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103879300K,,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103883423C,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103883834M,Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach (od 11.2015),,
0,0,0,2016,EWK-103884183N,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2016,EWK-103884414Y,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2016,EWK-103884451W,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103887940X,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103889526E,Nieprawidłowe: cofanie,,
0,0,0,2016,EWK-103889873L,Nieustąpienie pierwszeństwa pieszemu przy skręcaniu w drogę poprzeczną  (od 11.2015),,
0,0,0,2016,EWK-103889878P,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103893053G,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103910749J,,Chodzenie nieprawidłową stroną drogi,
0,0,0,2016,EWK-103911110W,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103911496A,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103913010K,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103913034L,,Wejście na jezdnię przy czerwonym świetle,
0,0,0,2016,EWK-103913059P,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103913413L,,Inne przyczyny (od 11.2015),
0,0,0,2016,EWK-103913434C,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103913504W,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103922922L,Nieprawidłowe: omijanie,,
0,0,0,2016,EWK-103923188U,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych (od 11.2015),,
0,0,0,2016,EWK-103923610K,,"Stanie na jezdni, leżenie",
0,0,0,2016,EWK-103924484X,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103928570U,,Przekraczanie jezdni w miejscu niedozwolonym,
0,0,0,2016,EWK-103928634P,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103940910J,,Nieostrożne wejście na jezdnię: przed jadącym pojazdem,
0,0,0,2016,EWK-103940928E,,,Inne
0,0,0,2016,EWK-103941938W,Nieustąpienie pierwszeństwa pieszemu przy skręcaniu w drogę poprzeczną  (od 11.2015),,
