Liczba wypadków,Liczba zabitych,Liczba rannych,Rok,Warunki atmosferyczne,Rodzaj zdarzenia,Warunki atmosferyczne,Oświetlenie,Charakterystyka miejsca zdarzenia,IDKSIP zdarzenia,Godzina,Dzień,Ranny,GPS x,GPS y,Numer drogi,Obszar,Geometria drogi,Kategoria drogi 1,Rodzaj drogi,Czy w zdarzeniu był sprawca nietrzeźwy,Powiat,Gmina
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Przejście dla pieszych,EWK-107473498F,16,2018-12-02,Lekko,21*34'076,53*04'556,4403W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednokierunkowa,T,POWIAT OSTROŁĘKA,OSTROŁĘKA - OBSZAR MIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Noc - droga oświetlona,Przejście dla pieszych,EWK-107473498F,16,2018-12-02,Nieokreślone (puste pole),21*34'076,53*04'556,4403W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednokierunkowa,T,POWIAT OSTROŁĘKA,OSTROŁĘKA - OBSZAR MIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-106932667T,3,2018-05-09,Ciężko,21*28'543,53*09'118,53,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT OSTROŁĘCKI,LELIS - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-106932667T,3,2018-05-09,Nieokreślone (puste pole),21*28'543,53*09'118,53,Obszar zabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT OSTROŁĘCKI,LELIS - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-106936917F,8,2018-05-11,Lekko,21*46'581,52*30'501,P4213W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT WĘGROWSKI,ŁOCHÓW - OBSZAR WIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Jezdnia,EWK-106936917F,8,2018-05-11,Nieokreślone (puste pole),21*46'581,52*30'501,P4213W,Obszar zabudowany,Odcinek prosty,Droga powiatowa,Jednojezdniowa dwukierunkowa,N,POWIAT WĘGROWSKI,ŁOCHÓW - OBSZAR WIEJSKI
1,0,1,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Przejście dla pieszych,EWK-107063881D,12,2018-06-26,Lekko,20*14'449,52*13'579,GMINNA,Obszar zabudowany,,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR MIEJSKI
1,0,0,2018,Dobre warunki atmosferyczne,Inne,Dobre warunki atmosferyczne,Światło dzienne,Przejście dla pieszych,EWK-107063881D,12,2018-06-26,Nieokreślone (puste pole),20*14'449,52*13'579,GMINNA,Obszar zabudowany,,Droga gminna,Jednojezdniowa dwukierunkowa,N,POWIAT SOCHACZEWSKI,SOCHACZEW - OBSZAR MIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106671576W,18,2018-01-13,Nieokreślone (puste pole),20*22'471,52*36'303,10,Obszar niezabudowany,,Droga krajowa,Jednojezdniowa dwukierunkowa,T,POWIAT PŁOŃSKI,PŁOŃSK - OBSZAR WIEJSKI
1,1,0,2018,Dobre warunki atmosferyczne,Najechanie na pieszego,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Jezdnia,EWK-106671579J,19,2018-01-13,Nieokreślone (puste pole),20*39'454,52*52'475,60,Obszar niezabudowany,Odcinek prosty,Droga krajowa,Jednojezdniowa dwukierunkowa,N,POWIAT CIECHANOWSKI,OPINOGÓRA GÓRNA - OBSZAR WIEJSKI
