IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-98191635H,2014,2014-04-10,16,POWIAT PŁOŃSKI,PŁOŃSK - OBSZAR MIEJSKI,Droga powiatowa,P3076W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.3694444444444,52.6222222222222,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,1,Lekko,N,,,,,,,,,,
EWK-98191635H,2014,2014-04-10,16,POWIAT PŁOŃSKI,PŁOŃSK - OBSZAR MIEJSKI,Droga powiatowa,P3076W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.3694444444444,52.6222222222222,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98287267H,2014,2014-06-24,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5309W,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.1591111111111,51.4185,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,1,Lekko,T,,,,,,,,,,
EWK-98287267H,2014,2014-06-24,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5309W,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,21.1591111111111,51.4185,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98323713X,2014,2014-07-17,17,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.3733055555556,53.1138888888889,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,1,Lekko,N,,,,,,,,,,
EWK-98323713X,2014,2014-07-17,17,POWIAT MŁAWSKI,MŁAWA - OBSZAR MIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.3733055555556,53.1138888888889,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98455018U,2014,2014-10-11,16,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5303W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1518333333333,51.4116111111111,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,1,Lekko,N,,,,,,,,,,
EWK-98455018U,2014,2014-10-11,16,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5303W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.1518333333333,51.4116111111111,Jezdnia,Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98253812F,2014,2014-05-28,16,POWIAT SIEDLECKI,SKÓRZEC - OBSZAR WIEJSKI,Nieokreślone (puste pole),,Jednojezdniowa dwukierunkowa,Spadek,Obszar zabudowany,22.1791666666667,52.1284722222222,"Parking, plac",Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98253812F,2014,2014-05-28,16,POWIAT SIEDLECKI,SKÓRZEC - OBSZAR WIEJSKI,Nieokreślone (puste pole),,Jednojezdniowa dwukierunkowa,Spadek,Obszar zabudowany,22.1791666666667,52.1284722222222,"Parking, plac",Dobre warunki atmosferyczne,Światło dzienne,Inne,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
