IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,,,,,,,,,
EWK-98080683E,2014,2014-01-01,1,POWIAT KOZIENICKI,MAGNUSZEW - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,"21,2619444444444","51,5575",Pobocze,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Inne,1,0,2,Lekko,N,,,,,,,,,,,,,,,,,,
EWK-98080683E,2014,2014-01-01,1,POWIAT KOZIENICKI,MAGNUSZEW - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar zabudowany,"21,2619444444444","51,5575",Pobocze,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Inne,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,,,,,,,,,
EWK-98080689D,2014,2014-01-01,1,POWIAT KOZIENICKI,MAGNUSZEW - OBSZAR WIEJSKI,Droga krajowa,79,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,"21,4372222222222","51,8111111111111",Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,2,Lekko,T,,,,,,,,,,,,,,,,,,
EWK-98080689D,2014,2014-01-01,1,POWIAT KOZIENICKI,MAGNUSZEW - OBSZAR WIEJSKI,Droga krajowa,79,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,"21,4372222222222","51,8111111111111",Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,,,,,,,,,
EWK-98078061W,2014,2014-01-01,18,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Inna,I2,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,"21,2375","51,4905555555556",Jezdnia,Dobre warunki atmosferyczne,Noc - droga oświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,,,,,,,,,
EWK-98078061W,2014,2014-01-01,18,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Inna,I2,Jednojezdniowa dwukierunkowa,,Obszar zabudowany,"21,2375","51,4905555555556",Jezdnia,Dobre warunki atmosferyczne,Noc - droga oświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,,,,,,,,,
EWK-98118736H,2014,2014-01-01,8,POWIAT GARWOLIŃSKI,GARWOLIN - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,"21,7205555555556","51,8894444444444",Pobocze,Dobre warunki atmosferyczne,Światło dzienne,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,,,,,,,,,
EWK-98118736H,2014,2014-01-01,8,POWIAT GARWOLIŃSKI,GARWOLIN - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,"21,7205555555556","51,8894444444444",Pobocze,Dobre warunki atmosferyczne,Światło dzienne,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,,,,,,,,,
EWK-98080061F,2014,2014-01-01,4,POWIAT GOSTYNIŃSKI,SANNIKI - OBSZAR WIEJSKI,Droga wojewódzka,577,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,"19,9166666666667","52,4380555555556",Jezdnia,Dobre warunki atmosferyczne,Noc - droga oświetlona,Wywrócenie się pojazdu,1,0,2,Lekko,T,,,,,,,,,,,,,,,,,,
EWK-98078039R,2014,2014-01-01,2,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5321W,Dwie jezdnie jednokierunkowe,,Obszar zabudowany,"21,1983333333333","51,47",Jezdnia,Opady deszczu,Noc - droga oświetlona,Zderzenie pojazdów boczne,1,0,1,Lekko,N,,,,,,,,,,,,,,,,,,
EWK-98078039R,2014,2014-01-01,2,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5321W,Dwie jezdnie jednokierunkowe,,Obszar zabudowany,"21,1983333333333","51,47",Jezdnia,Opady deszczu,Noc - droga oświetlona,Zderzenie pojazdów boczne,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,,,,,,,,,
EWK-98112109U,2014,2014-01-02,20,POWIAT GARWOLIŃSKI,PILAWA - OBSZAR WIEJSKI,Droga wojewódzka,805,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar niezabudowany,"21,6563888888889","52,0552777777778","Skarpa, rów",Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na drzewo,1,0,1,Ciężko,T,,,,,,,,,,,,,,,,,,
EWK-98083715Y,2014,2014-01-02,17,POWIAT SIEDLECKI,PAPROTNIA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,"22,5425","52,3547222222222",Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,,,,,,,,,
EWK-98083715Y,2014,2014-01-02,17,POWIAT SIEDLECKI,PAPROTNIA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,"22,5425","52,3547222222222",Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,,,,,,,,,
EWK-98080468Y,2014,2014-01-02,17,POWIAT RADOM,RADOM - OBSZAR MIEJSKI,Droga powiatowa,P5329W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,"21,2613888888889","51,5363888888889",Przejście dla pieszych,Dobre warunki atmosferyczne,Noc - droga oświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,,,,,,,,,
EWK-98084935J,2014,2014-01-02,18,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,"22,0161111111111","52,8452777777778",Przejście dla pieszych,Dobre warunki atmosferyczne,Noc - droga oświetlona,Najechanie na pieszego,1,0,2,Ciężko,N,,,,,,,,,,,,,,,,,,
EWK-98084935J,2014,2014-01-02,18,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR MIEJSKI,Droga powiatowa,P,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,"22,0161111111111","52,8452777777778",Przejście dla pieszych,Dobre warunki atmosferyczne,Noc - droga oświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,,,,,,,,,
